date,season,pokemon_key,pokemon_name,rank
2026-04-25,1,0983-00,ドドゲザン,13
2026-04-25,1,0778-00,ミミッキュ,14
2026-04-25,1,0428-00,ミミロップ,15
2026-04-25,1,0635-00,サザンドラ,16
2026-04-25,1,0479-02,ウォッシュロトム,17
2026-04-25,1,0970-00,キラフロル,18
2026-04-25,1,0197-00,ブラッキー,19
2026-04-25,1,0655-00,マフォクシー,20
2026-04-25,1,0448-00,ルカリオ,21
2026-04-25,1,0154-00,メガニウム,22
2026-04-25,1,0130-00,ギャラドス,23
2026-04-25,1,0658-00,ゲッコウガ,24
2026-04-25,1,0115-00,ガルーラ,25
2026-04-25,1,0670-05,フラエッテ (えいえん),26
2026-04-25,1,0003-00,フシギバナ,27
2026-04-25,1,0903-00,オオニューラ,28
2026-04-25,1,0637-00,ウルガモス,29
2026-04-25,1,0036-00,ピクシー,30
2026-04-25,1,0479-01,ヒートロトム,31
2026-04-25,1,0248-00,バンギラス,32
2026-04-25,1,0121-00,スターミー,33
2026-04-25,1,0700-00,ニンフィア,34
2026-04-25,1,0887-00,ドラパルト,35
2026-04-25,1,0911-00,ラウドボーン,36
2026-04-25,1,0748-00,ドヒドイデ,37
2026-04-25,1,0956-00,クエスパトラ,38
2026-04-25,1,0279-00,ペリッパー,39
2026-04-25,1,0184-00,マリルリ,40
2026-04-25,1,0939-00,ハラバリー,41
2026-04-25,1,0473-00,マンムー,42
2026-04-25,1,0660-00,ホルード,43
2026-04-25,1,0143-00,カビゴン,44
2026-04-25,1,0395-00,エンペルト,45
2026-04-25,1,0009-00,カメックス,46
2026-04-25,1,0071-00,ウツボット,47
2026-04-25,1,0937-00,ソウブレイズ,48
2026-04-25,1,0530-00,ドリュウズ,49
2026-04-25,1,0227-00,エアームド,50
2026-04-26,1,0445-00,ガブリアス,1
2026-04-26,1,0730-00,アシレーヌ,2
2026-04-26,1,0006-00,リザードン,3
2026-04-26,1,0823-00,アーマーガア,4
2026-04-26,1,1018-00,ブリジュラス,5
2026-04-26,1,0450-00,カバルドン,6
2026-04-26,1,0094-00,ゲンガー,7
2026-04-26,1,0212-00,ハッサム,8
2026-04-26,1,0681-00,ギルガルド,9
2026-04-26,1,0149-00,カイリュー,10
2026-04-26,1,0908-00,マスカーニャ,11
2026-04-26,1,0902-00,イダイトウ (オス),12
2026-04-26,1,0983-00,ドドゲザン,13
2026-04-26,1,0778-00,ミミッキュ,14
2026-04-26,1,0428-00,ミミロップ,15
2026-04-26,1,0635-00,サザンドラ,16
2026-04-26,1,0970-00,キラフロル,17
2026-04-26,1,0479-02,ウォッシュロトム,18
2026-04-26,1,0197-00,ブラッキー,19
2026-04-26,1,0655-00,マフォクシー,20
2026-04-26,1,0448-00,ルカリオ,21
2026-04-26,1,0130-00,ギャラドス,22
2026-04-26,1,0154-00,メガニウム,23
2026-04-26,1,0115-00,ガルーラ,24
2026-04-26,1,0658-00,ゲッコウガ,25
2026-04-26,1,0670-05,フラエッテ (えいえん),26
2026-04-26,1,0003-00,フシギバナ,27
2026-04-26,1,0903-00,オオニューラ,28
2026-04-26,1,0637-00,ウルガモス,29
2026-04-26,1,0036-00,ピクシー,30
2026-04-26,1,0479-01,ヒートロトム,31
2026-04-26,1,0248-00,バンギラス,32
2026-04-26,1,0121-00,スターミー,33
2026-04-26,1,0700-00,ニンフィア,34
2026-04-26,1,0887-00,ドラパルト,35
2026-04-26,1,0911-00,ラウドボーン,36
2026-04-26,1,0748-00,ドヒドイデ,37
2026-04-26,1,0956-00,クエスパトラ,38
2026-04-26,1,0279-00,ペリッパー,39
2026-04-26,1,0184-00,マリルリ,40
2026-04-26,1,0939-00,ハラバリー,41
2026-04-26,1,0473-00,マンムー,42
2026-04-26,1,0660-00,ホルード,43
2026-04-26,1,0143-00,カビゴン,44
2026-04-26,1,0395-00,エンペルト,45
2026-04-26,1,0937-00,ソウブレイズ,46
2026-04-26,1,0009-00,カメックス,47
2026-04-26,1,0071-00,ウツボット,48
2026-04-26,1,0530-00,ドリュウズ,49
2026-04-26,1,0227-00,エアームド,50
2026-04-27,1,0445-00,ガブリアス,1
2026-04-27,1,0730-00,アシレーヌ,2
2026-04-27,1,0006-00,リザードン,3
2026-04-27,1,0823-00,アーマーガア,4
2026-04-27,1,1018-00,ブリジュラス,5
2026-04-27,1,0450-00,カバルドン,6
2026-04-27,1,0094-00,ゲンガー,7
2026-04-27,1,0149-00,カイリュー,8
2026-04-27,1,0681-00,ギルガルド,9
2026-04-27,1,0212-00,ハッサム,10
2026-04-27,1,0908-00,マスカーニャ,11
2026-04-27,1,0902-00,イダイトウ (オス),12
2026-04-27,1,0983-00,ドドゲザン,13
2026-04-27,1,0778-00,ミミッキュ,14
2026-04-27,1,0428-00,ミミロップ,15
2026-04-27,1,0635-00,サザンドラ,16
2026-04-27,1,0970-00,キラフロル,17
2026-04-27,1,0479-02,ウォッシュロトム,18
2026-04-27,1,0197-00,ブラッキー,19
2026-04-27,1,0448-00,ルカリオ,20
2026-04-27,1,0655-00,マフォクシー,21
2026-04-27,1,0130-00,ギャラドス,22
2026-04-27,1,0115-00,ガルーラ,23
2026-04-27,1,0154-00,メガニウム,24
2026-04-27,1,0658-00,ゲッコウガ,25
2026-04-27,1,0670-05,フラエッテ (えいえん),26
2026-04-27,1,0003-00,フシギバナ,27
2026-04-27,1,0903-00,オオニューラ,28
2026-04-27,1,0637-00,ウルガモス,29
2026-04-27,1,0036-00,ピクシー,30
2026-04-27,1,0479-01,ヒートロトム,31
2026-04-27,1,0248-00,バンギラス,32
2026-04-27,1,0121-00,スターミー,33
2026-04-27,1,0700-00,ニンフィア,34
2026-04-27,1,0911-00,ラウドボーン,35
2026-04-27,1,0887-00,ドラパルト,36
2026-04-27,1,0748-00,ドヒドイデ,37
2026-04-27,1,0956-00,クエスパトラ,38
2026-04-27,1,0279-00,ペリッパー,39
2026-04-27,1,0939-00,ハラバリー,40
2026-04-27,1,0184-00,マリルリ,41
2026-04-27,1,0473-00,マンムー,42
2026-04-27,1,0660-00,ホルード,43
2026-04-27,1,0937-00,ソウブレイズ,44
2026-04-27,1,0143-00,カビゴン,45
2026-04-27,1,0395-00,エンペルト,46
2026-04-27,1,0009-00,カメックス,47
2026-04-27,1,0530-00,ドリュウズ,48
2026-04-27,1,0071-00,ウツボット,49
2026-04-27,1,0952-00,スコヴィラン,50
2026-04-28,1,0445-00,ガブリアス,1
2026-04-28,1,0730-00,アシレーヌ,2
2026-04-28,1,0006-00,リザードン,3
2026-04-28,1,0823-00,アーマーガア,4
2026-04-28,1,1018-00,ブリジュラス,5
2026-04-28,1,0450-00,カバルドン,6
2026-04-28,1,0094-00,ゲンガー,7
2026-04-28,1,0149-00,カイリュー,8
2026-04-28,1,0681-00,ギルガルド,9
2026-04-28,1,0212-00,ハッサム,10
2026-04-28,1,0908-00,マスカーニャ,11
2026-04-28,1,0902-00,イダイトウ (オス),12
2026-04-28,1,0983-00,ドドゲザン,13
2026-04-28,1,0778-00,ミミッキュ,14
2026-04-28,1,0428-00,ミミロップ,15
2026-04-28,1,0635-00,サザンドラ,16
2026-04-28,1,0970-00,キラフロル,17
2026-04-28,1,0479-02,ウォッシュロトム,18
2026-04-28,1,0197-00,ブラッキー,19
2026-04-28,1,0448-00,ルカリオ,20
2026-04-28,1,0655-00,マフォクシー,21
2026-04-28,1,0130-00,ギャラドス,22
2026-04-28,1,0115-00,ガルーラ,23
2026-04-28,1,0154-00,メガニウム,24
2026-04-28,1,0658-00,ゲッコウガ,25
2026-04-28,1,0670-05,フラエッテ (えいえん),26
2026-04-28,1,0003-00,フシギバナ,27
2026-04-28,1,0903-00,オオニューラ,28
2026-04-28,1,0637-00,ウルガモス,29
2026-04-28,1,0036-00,ピクシー,30
2026-04-28,1,0479-01,ヒートロトム,31
2026-04-28,1,0248-00,バンギラス,32
2026-04-28,1,0121-00,スターミー,33
2026-04-28,1,0700-00,ニンフィア,34
2026-04-28,1,0911-00,ラウドボーン,35
2026-04-28,1,0887-00,ドラパルト,36
2026-04-28,1,0748-00,ドヒドイデ,37
2026-04-28,1,0956-00,クエスパトラ,38
2026-04-28,1,0279-00,ペリッパー,39
2026-04-28,1,0939-00,ハラバリー,40
2026-04-28,1,0184-00,マリルリ,41
2026-04-28,1,0473-00,マンムー,42
2026-04-28,1,0660-00,ホルード,43
2026-04-28,1,0937-00,ソウブレイズ,44
2026-04-28,1,0143-00,カビゴン,45
2026-04-28,1,0395-00,エンペルト,46
2026-04-28,1,0009-00,カメックス,47
2026-04-28,1,0530-00,ドリュウズ,48
2026-04-28,1,0952-00,スコヴィラン,49
2026-04-28,1,0071-00,ウツボット,50
2026-04-29,1,0445-00,ガブリアス,1
2026-04-29,1,0730-00,アシレーヌ,2
2026-04-29,1,0006-00,リザードン,3
2026-04-29,1,0823-00,アーマーガア,4
2026-04-29,1,1018-00,ブリジュラス,5
2026-04-29,1,0450-00,カバルドン,6
2026-04-29,1,0094-00,ゲンガー,7
2026-04-29,1,0149-00,カイリュー,8
2026-04-29,1,0681-00,ギルガルド,9
2026-04-29,1,0212-00,ハッサム,10
2026-04-29,1,0908-00,マスカーニャ,11
2026-04-29,1,0902-00,イダイトウ (オス),12
2026-04-29,1,0983-00,ドドゲザン,13
2026-04-29,1,0778-00,ミミッキュ,14
2026-04-29,1,0428-00,ミミロップ,15
2026-04-29,1,0635-00,サザンドラ,16
2026-04-29,1,0970-00,キラフロル,17
2026-04-29,1,0479-02,ウォッシュロトム,18
2026-04-29,1,0197-00,ブラッキー,19
2026-04-29,1,0448-00,ルカリオ,20
2026-04-29,1,0655-00,マフォクシー,21
2026-04-29,1,0130-00,ギャラドス,22
2026-04-29,1,0115-00,ガルーラ,23
2026-04-29,1,0154-00,メガニウム,24
2026-04-29,1,0658-00,ゲッコウガ,25
2026-04-29,1,0670-05,フラエッテ (えいえん),26
2026-04-29,1,0003-00,フシギバナ,27
2026-04-29,1,0903-00,オオニューラ,28
2026-04-29,1,0637-00,ウルガモス,29
2026-04-29,1,0036-00,ピクシー,30
2026-04-29,1,0248-00,バンギラス,31
2026-04-29,1,0121-00,スターミー,32
2026-04-29,1,0479-01,ヒートロトム,33
2026-04-29,1,0700-00,ニンフィア,34
2026-04-29,1,0911-00,ラウドボーン,35
2026-04-29,1,0887-00,ドラパルト,36
2026-04-29,1,0748-00,ドヒドイデ,37
2026-04-29,1,0956-00,クエスパトラ,38
2026-04-29,1,0279-00,ペリッパー,39
2026-04-29,1,0939-00,ハラバリー,40
2026-04-29,1,0184-00,マリルリ,41
2026-04-29,1,0473-00,マンムー,42
2026-04-29,1,0660-00,ホルード,43
2026-04-29,1,0937-00,ソウブレイズ,44
2026-04-29,1,0143-00,カビゴン,45
2026-04-29,1,0395-00,エンペルト,46
2026-04-29,1,0009-00,カメックス,47
2026-04-29,1,0530-00,ドリュウズ,48
2026-04-29,1,0952-00,スコヴィラン,49
2026-04-29,1,0227-00,エアームド,50
2026-04-30,1,0445-00,ガブリアス,1
2026-04-30,1,0730-00,アシレーヌ,2
2026-04-30,1,0006-00,リザードン,3
2026-04-30,1,1018-00,ブリジュラス,4
2026-04-30,1,0823-00,アーマーガア,5
2026-04-30,1,0450-00,カバルドン,6
2026-04-30,1,0094-00,ゲンガー,7
2026-04-30,1,0149-00,カイリュー,8
2026-04-30,1,0681-00,ギルガルド,9
2026-04-30,1,0212-00,ハッサム,10
2026-04-30,1,0908-00,マスカーニャ,11
2026-04-30,1,0902-00,イダイトウ (オス),12
2026-04-30,1,0983-00,ドドゲザン,13
2026-04-30,1,0778-00,ミミッキュ,14
2026-04-30,1,0428-00,ミミロップ,15
2026-04-30,1,0970-00,キラフロル,16
2026-04-30,1,0635-00,サザンドラ,17
2026-04-30,1,0479-02,ウォッシュロトム,18
2026-04-30,1,0197-00,ブラッキー,19
2026-04-30,1,0448-00,ルカリオ,20
2026-04-30,1,0130-00,ギャラドス,21
2026-04-30,1,0655-00,マフォクシー,22
2026-04-30,1,0115-00,ガルーラ,23
2026-04-30,1,0154-00,メガニウム,24
2026-04-30,1,0670-05,フラエッテ (えいえん),25
2026-04-30,1,0658-00,ゲッコウガ,26
2026-04-30,1,0637-00,ウルガモス,27
2026-04-30,1,0003-00,フシギバナ,28
2026-04-30,1,0903-00,オオニューラ,29
2026-04-30,1,0036-00,ピクシー,30
2026-04-30,1,0121-00,スターミー,31
2026-04-30,1,0248-00,バンギラス,32
2026-04-30,1,0479-01,ヒートロトム,33
2026-04-30,1,0700-00,ニンフィア,34
2026-04-30,1,0911-00,ラウドボーン,35
2026-04-30,1,0887-00,ドラパルト,36
2026-04-30,1,0748-00,ドヒドイデ,37
2026-04-30,1,0956-00,クエスパトラ,38
2026-04-30,1,0939-00,ハラバリー,39
2026-04-30,1,0279-00,ペリッパー,40
2026-04-30,1,0184-00,マリルリ,41
2026-04-30,1,0473-00,マンムー,42
2026-04-30,1,0660-00,ホルード,43
2026-04-30,1,0937-00,ソウブレイズ,44
2026-04-30,1,0143-00,カビゴン,45
2026-04-30,1,0395-00,エンペルト,46
2026-04-30,1,0009-00,カメックス,47
2026-04-30,1,0530-00,ドリュウズ,48
2026-04-30,1,0952-00,スコヴィラン,49
2026-04-30,1,0227-00,エアームド,50
2026-05-01,1,0445-00,ガブリアス,1
2026-05-01,1,0730-00,アシレーヌ,2
2026-05-01,1,0006-00,リザードン,3
2026-05-01,1,1018-00,ブリジュラス,4
2026-05-01,1,0823-00,アーマーガア,5
2026-05-01,1,0450-00,カバルドン,6
2026-05-01,1,0094-00,ゲンガー,7
2026-05-01,1,0149-00,カイリュー,8
2026-05-01,1,0681-00,ギルガルド,9
2026-05-01,1,0212-00,ハッサム,10
2026-05-01,1,0908-00,マスカーニャ,11
2026-05-01,1,0902-00,イダイトウ (オス),12
2026-05-01,1,0983-00,ドドゲザン,13
2026-05-01,1,0778-00,ミミッキュ,14
2026-05-01,1,0428-00,ミミロップ,15
2026-05-01,1,0970-00,キラフロル,16
2026-05-01,1,0635-00,サザンドラ,17
2026-05-01,1,0479-02,ウォッシュロトム,18
2026-05-01,1,0197-00,ブラッキー,19
2026-05-01,1,0448-00,ルカリオ,20
2026-05-01,1,0130-00,ギャラドス,21
2026-05-01,1,0655-00,マフォクシー,22
2026-05-01,1,0115-00,ガルーラ,23
2026-05-01,1,0154-00,メガニウム,24
2026-05-01,1,0670-05,フラエッテ (えいえん),25
2026-05-01,1,0658-00,ゲッコウガ,26
2026-05-01,1,0637-00,ウルガモス,27
2026-05-01,1,0003-00,フシギバナ,28
2026-05-01,1,0903-00,オオニューラ,29
2026-05-01,1,0036-00,ピクシー,30
2026-05-01,1,0121-00,スターミー,31
2026-05-01,1,0248-00,バンギラス,32
2026-05-01,1,0479-01,ヒートロトム,33
2026-05-01,1,0700-00,ニンフィア,34
2026-05-01,1,0911-00,ラウドボーン,35
2026-05-01,1,0887-00,ドラパルト,36
2026-05-01,1,0748-00,ドヒドイデ,37
2026-05-01,1,0956-00,クエスパトラ,38
2026-05-01,1,0939-00,ハラバリー,39
2026-05-01,1,0279-00,ペリッパー,40
2026-05-01,1,0184-00,マリルリ,41
2026-05-01,1,0473-00,マンムー,42
2026-05-01,1,0660-00,ホルード,43
2026-05-01,1,0937-00,ソウブレイズ,44
2026-05-01,1,0143-00,カビゴン,45
2026-05-01,1,0395-00,エンペルト,46
2026-05-01,1,0009-00,カメックス,47
2026-05-01,1,0530-00,ドリュウズ,48
2026-05-01,1,0952-00,スコヴィラン,49
2026-05-01,1,0478-00,ユキメノコ,50
2026-05-02,1,0445-00,ガブリアス,1
2026-05-02,1,0730-00,アシレーヌ,2
2026-05-02,1,1018-00,ブリジュラス,3
2026-05-02,1,0006-00,リザードン,4
2026-05-02,1,0823-00,アーマーガア,5
2026-05-02,1,0450-00,カバルドン,6
2026-05-02,1,0094-00,ゲンガー,7
2026-05-02,1,0149-00,カイリュー,8
2026-05-02,1,0681-00,ギルガルド,9
2026-05-02,1,0212-00,ハッサム,10
2026-05-02,1,0908-00,マスカーニャ,11
2026-05-02,1,0902-00,イダイトウ (オス),12
2026-05-02,1,0983-00,ドドゲザン,13
2026-05-02,1,0778-00,ミミッキュ,14
2026-05-02,1,0428-00,ミミロップ,15
2026-05-02,1,0970-00,キラフロル,16
2026-05-02,1,0635-00,サザンドラ,17
2026-05-02,1,0479-02,ウォッシュロトム,18
2026-05-02,1,0448-00,ルカリオ,19
2026-05-02,1,0197-00,ブラッキー,20
2026-05-02,1,0130-00,ギャラドス,21
2026-05-02,1,0115-00,ガルーラ,22
2026-05-02,1,0655-00,マフォクシー,23
2026-05-02,1,0154-00,メガニウム,24
2026-05-02,1,0670-05,フラエッテ (えいえん),25
2026-05-02,1,0658-00,ゲッコウガ,26
2026-05-02,1,0637-00,ウルガモス,27
2026-05-02,1,0003-00,フシギバナ,28
2026-05-02,1,0903-00,オオニューラ,29
2026-05-02,1,0036-00,ピクシー,30
2026-05-02,1,0121-00,スターミー,31
2026-05-02,1,0248-00,バンギラス,32
2026-05-02,1,0700-00,ニンフィア,33
2026-05-02,1,0479-01,ヒートロトム,34
2026-05-02,1,0911-00,ラウドボーン,35
2026-05-02,1,0887-00,ドラパルト,36
2026-05-02,1,0748-00,ドヒドイデ,37
2026-05-02,1,0956-00,クエスパトラ,38
2026-05-02,1,0939-00,ハラバリー,39
2026-05-02,1,0279-00,ペリッパー,40
2026-05-02,1,0184-00,マリルリ,41
2026-05-02,1,0473-00,マンムー,42
2026-05-02,1,0660-00,ホルード,43
2026-05-02,1,0937-00,ソウブレイズ,44
2026-05-02,1,0143-00,カビゴン,45
2026-05-02,1,0395-00,エンペルト,46
2026-05-02,1,0009-00,カメックス,47
2026-05-02,1,0952-00,スコヴィラン,48
2026-05-02,1,0530-00,ドリュウズ,49
2026-05-02,1,0478-00,ユキメノコ,50
2026-05-03,1,0445-00,ガブリアス,1
2026-05-03,1,0730-00,アシレーヌ,2
2026-05-03,1,1018-00,ブリジュラス,3
2026-05-03,1,0006-00,リザードン,4
2026-05-03,1,0823-00,アーマーガア,5
2026-05-03,1,0450-00,カバルドン,6
2026-05-03,1,0149-00,カイリュー,7
2026-05-03,1,0094-00,ゲンガー,8
2026-05-03,1,0681-00,ギルガルド,9
2026-05-03,1,0908-00,マスカーニャ,10
2026-05-03,1,0212-00,ハッサム,11
2026-05-03,1,0902-00,イダイトウ (オス),12
2026-05-03,1,0778-00,ミミッキュ,13
2026-05-03,1,0983-00,ドドゲザン,14
2026-05-03,1,0428-00,ミミロップ,15
2026-05-03,1,0970-00,キラフロル,16
2026-05-03,1,0635-00,サザンドラ,17
2026-05-03,1,0479-02,ウォッシュロトム,18
2026-05-03,1,0448-00,ルカリオ,19
2026-05-03,1,0130-00,ギャラドス,20
2026-05-03,1,0197-00,ブラッキー,21
2026-05-03,1,0115-00,ガルーラ,22
2026-05-03,1,0655-00,マフォクシー,23
2026-05-03,1,0670-05,フラエッテ (えいえん),24
2026-05-03,1,0154-00,メガニウム,25
2026-05-03,1,0637-00,ウルガモス,26
2026-05-03,1,0658-00,ゲッコウガ,27
2026-05-03,1,0903-00,オオニューラ,28
2026-05-03,1,0003-00,フシギバナ,29
2026-05-03,1,0036-00,ピクシー,30
2026-05-03,1,0121-00,スターミー,31
2026-05-03,1,0248-00,バンギラス,32
2026-05-03,1,0700-00,ニンフィア,33
2026-05-03,1,0479-01,ヒートロトム,34
2026-05-03,1,0911-00,ラウドボーン,35
2026-05-03,1,0887-00,ドラパルト,36
2026-05-03,1,0748-00,ドヒドイデ,37
2026-05-03,1,0956-00,クエスパトラ,38
2026-05-03,1,0939-00,ハラバリー,39
2026-05-03,1,0279-00,ペリッパー,40
2026-05-03,1,0184-00,マリルリ,41
2026-05-03,1,0473-00,マンムー,42
2026-05-03,1,0937-00,ソウブレイズ,43
2026-05-03,1,0660-00,ホルード,44
2026-05-03,1,0143-00,カビゴン,45
2026-05-03,1,0395-00,エンペルト,46
2026-05-03,1,0009-00,カメックス,47
2026-05-03,1,0952-00,スコヴィラン,48
2026-05-03,1,0478-00,ユキメノコ,49
2026-05-03,1,0530-00,ドリュウズ,50
2026-05-04,1,0445-00,ガブリアス,1
2026-05-04,1,0730-00,アシレーヌ,2
2026-05-04,1,1018-00,ブリジュラス,3
2026-05-04,1,0006-00,リザードン,4
2026-05-04,1,0823-00,アーマーガア,5
2026-05-04,1,0450-00,カバルドン,6
2026-05-04,1,0149-00,カイリュー,7
2026-05-04,1,0094-00,ゲンガー,8
2026-05-04,1,0681-00,ギルガルド,9
2026-05-04,1,0908-00,マスカーニャ,10
2026-05-04,1,0902-00,イダイトウ (オス),11
2026-05-04,1,0212-00,ハッサム,12
2026-05-04,1,0778-00,ミミッキュ,13
2026-05-04,1,0983-00,ドドゲザン,14
2026-05-04,1,0428-00,ミミロップ,15
2026-05-04,1,0970-00,キラフロル,16
2026-05-04,1,0635-00,サザンドラ,17
2026-05-04,1,0479-02,ウォッシュロトム,18
2026-05-04,1,0448-00,ルカリオ,19
2026-05-04,1,0130-00,ギャラドス,20
2026-05-04,1,0197-00,ブラッキー,21
2026-05-04,1,0115-00,ガルーラ,22
2026-05-04,1,0655-00,マフォクシー,23
2026-05-04,1,0670-05,フラエッテ (えいえん),24
2026-05-04,1,0154-00,メガニウム,25
2026-05-04,1,0637-00,ウルガモス,26
2026-05-04,1,0658-00,ゲッコウガ,27
2026-05-04,1,0903-00,オオニューラ,28
2026-05-04,1,0003-00,フシギバナ,29
2026-05-04,1,0036-00,ピクシー,30
2026-05-04,1,0121-00,スターミー,31
2026-05-04,1,0248-00,バンギラス,32
2026-05-04,1,0700-00,ニンフィア,33
2026-05-04,1,0479-01,ヒートロトム,34
2026-05-04,1,0911-00,ラウドボーン,35
2026-05-04,1,0887-00,ドラパルト,36
2026-05-04,1,0748-00,ドヒドイデ,37
2026-05-04,1,0956-00,クエスパトラ,38
2026-05-04,1,0939-00,ハラバリー,39
2026-05-04,1,0279-00,ペリッパー,40
2026-05-04,1,0473-00,マンムー,41
2026-05-04,1,0184-00,マリルリ,42
2026-05-04,1,0937-00,ソウブレイズ,43
2026-05-04,1,0660-00,ホルード,44
2026-05-04,1,0143-00,カビゴン,45
2026-05-04,1,0395-00,エンペルト,46
2026-05-04,1,0009-00,カメックス,47
2026-05-04,1,0478-00,ユキメノコ,48
2026-05-04,1,0952-00,スコヴィラン,49
2026-05-04,1,0227-00,エアームド,50
2026-05-05,1,0445-00,ガブリアス,1
2026-05-05,1,0730-00,アシレーヌ,2
2026-05-05,1,1018-00,ブリジュラス,3
2026-05-05,1,0006-00,リザードン,4
2026-05-05,1,0823-00,アーマーガア,5
2026-05-05,1,0450-00,カバルドン,6
2026-05-05,1,0149-00,カイリュー,7
2026-05-05,1,0094-00,ゲンガー,8
2026-05-05,1,0681-00,ギルガルド,9
2026-05-05,1,0908-00,マスカーニャ,10
2026-05-05,1,0902-00,イダイトウ (オス),11
2026-05-05,1,0212-00,ハッサム,12
2026-05-05,1,0778-00,ミミッキュ,13
2026-05-05,1,0428-00,ミミロップ,14
2026-05-05,1,0983-00,ドドゲザン,15
2026-05-05,1,0970-00,キラフロル,16
2026-05-05,1,0635-00,サザンドラ,17
2026-05-05,1,0479-02,ウォッシュロトム,18
2026-05-05,1,0448-00,ルカリオ,19
2026-05-05,1,0130-00,ギャラドス,20
2026-05-05,1,0197-00,ブラッキー,21
2026-05-05,1,0115-00,ガルーラ,22
2026-05-05,1,0655-00,マフォクシー,23
2026-05-05,1,0670-05,フラエッテ (えいえん),24
2026-05-05,1,0637-00,ウルガモス,25
2026-05-05,1,0154-00,メガニウム,26
2026-05-05,1,0658-00,ゲッコウガ,27
2026-05-05,1,0903-00,オオニューラ,28
2026-05-05,1,0003-00,フシギバナ,29
2026-05-05,1,0121-00,スターミー,30
2026-05-05,1,0036-00,ピクシー,31
2026-05-05,1,0248-00,バンギラス,32
2026-05-05,1,0700-00,ニンフィア,33
2026-05-05,1,0479-01,ヒートロトム,34
2026-05-05,1,0911-00,ラウドボーン,35
2026-05-05,1,0887-00,ドラパルト,36
2026-05-05,1,0748-00,ドヒドイデ,37
2026-05-05,1,0956-00,クエスパトラ,38
2026-05-05,1,0939-00,ハラバリー,39
2026-05-05,1,0279-00,ペリッパー,40
2026-05-05,1,0473-00,マンムー,41
2026-05-05,1,0184-00,マリルリ,42
2026-05-05,1,0937-00,ソウブレイズ,43
2026-05-05,1,0660-00,ホルード,44
2026-05-05,1,0143-00,カビゴン,45
2026-05-05,1,0395-00,エンペルト,46
2026-05-05,1,0009-00,カメックス,47
2026-05-05,1,0478-00,ユキメノコ,48
2026-05-05,1,0952-00,スコヴィラン,49
2026-05-05,1,0227-00,エアームド,50
2026-05-06,1,0445-00,ガブリアス,1
2026-05-06,1,0730-00,アシレーヌ,2
2026-05-06,1,1018-00,ブリジュラス,3
2026-05-06,1,0006-00,リザードン,4
